filename,walkstart1,walkend1,turnstart1,turnend1,walkstart2,walkend2,turnstart2,turnend2,walkstart3,walkend3
testresults_16.json,5634,12000,13500,15500,22200,27900,29900,32200,39500,45000
testresults_17.json,5000,11360,12700,15200,21300,28000,29500,32126,39000,44700
testresults_18.json,4950,14700,17050,22300,28800,38000,42000,47000,53450,61482
